Tag_name,Min,Max,Total,Time,MinMinute,MaxMinute,Valid
report_data[0].log_data[0],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[1],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[2],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[3],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[4],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[5],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[6],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[7],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[8],0.0,1.0,3380.2509765625,3600.0,56,0,True
report_data[0].log_data[9],0.0,1.0,3380.2509765625,3600.0,56,0,True
report_data[0].log_data[10],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[11],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[12],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[13],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[14],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[15],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[16],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[17],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[18],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[19],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[20],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[21],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[22],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[23],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[24],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[25],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[26],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[27],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[28],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[29],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[30],1.0,1.0,3600.0,3600.0,0,0,True
report_data[0].log_data[31],0.0,1.0,1350.7470703125,3600.0,0,9,True
report_data[0].log_data[32],0.0,1.0,1592.5,3600.0,8,0,True
report_data[0].log_data[33],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[34],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[35],0.0,1.0,1629.7490234375,3600.0,0,2,True
report_data[0].log_data[36],0.0,1.0,1224.998046875,3600.0,0,0,True
report_data[0].log_data[37],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[38],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[39],0.996119499206543,1.006483793258667,3607.395751953125,3600.0,39,38,True
report_data[0].log_data[40],7.5588202476501465,7.583553314208984,27270.68359375,3600.0,14,2,True
report_data[0].log_data[41],0.04020629823207855,0.06690210103988647,185.39492797851562,3600.0,33,36,True
report_data[0].log_data[42],2.2927026748657227,2.3001224994659424,8264.736328125,3600.0,35,52,True
report_data[0].log_data[43],-0.26000213623046875,-0.26000213623046875,-935.9732055664062,3600.0,0,0,True
report_data[0].log_data[44],-0.3000030517578125,-0.279998779296875,-1064.77734375,3600.0,0,0,True
report_data[0].log_data[45],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[46],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[47],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[48],6.745113849639893,6.788533687591553,24326.748046875,3600.0,59,0,True
report_data[0].log_data[49],8.742197036743164,9.361495971679688,33220.31640625,3600.0,0,51,True
report_data[0].log_data[50],1.998854398727417,2.0836522579193115,7352.7578125,3600.0,56,59,True
report_data[0].log_data[51],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[52],-2.9800033569335938,0.1199951171875,-7544.91552734375,3600.0,9,8,True
report_data[0].log_data[53],-2.8400039672851562,0.1999969482421875,-6902.9921875,3600.0,55,1,True
report_data[0].log_data[54],0.0,0.534500002861023,1168.5892333984375,3600.0,8,9,True
report_data[0].log_data[55],0.0,0.5419999957084656,1131.297119140625,3600.0,0,33,True
report_data[0].log_data[56],0.1603241264820099,0.1607166975736618,577.736572265625,3600.0,1,5,True
report_data[0].log_data[57],0.32198968529701233,0.32242152094841003,1159.701416015625,3600.0,12,29,True
report_data[0].log_data[58],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[59],0.0,0.0,0.0,3600.0,0,0,True
report_data[0].log_data[60],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[61],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[62],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[63],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[64],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[65],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[66],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[67],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[68],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[69],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[70],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[71],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[72],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[73],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[74],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[75],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[76],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[77],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[78],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[79],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[80],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[81],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[82],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[83],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[84],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[85],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[86],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[87],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[88],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[89],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[90],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[91],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[92],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[93],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[94],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[95],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[96],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[97],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[98],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[99],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[100],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[101],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[102],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[103],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[104],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[105],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[106],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[107],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[108],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[109],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[110],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[111],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[112],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[113],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[114],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[115],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[116],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[117],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[118],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[119],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[120],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[121],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[122],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[123],0.0,0.0,0.0,0.0,0,0,True
report_data[0].log_data[124],0.0,0.0,0.0,0.0,0,0,True
